DEPTH	P_L_95	P_H_95	P_L_99	P_H_99
1	-1	1	-1	1
2	-1	1	-1	1
3	-0.666666666666667	0.666666666666667	-1	1
4	-0.75	0.75	-1	0.75
5	-0.6	0.6	-0.8	0.8
6	-0.5	0.5	-0.833333333333333	0.666666666666667
7	-0.571428571428571	0.571428571428571	-0.714285714285714	0.714285714285714
8	-0.5	0.5	-0.625	0.75
9	-0.444444444444444	0.444444444444444	-0.555555555555556	0.666666666666667
10	-0.4	0.5	-0.6	0.6
11	-0.454545454545455	0.454545454545455	-0.636363636363636	0.545454545454545
12	-0.416666666666667	0.416666666666667	-0.583333333333333	0.583333333333333
13	-0.461538461538462	0.384615384615385	-0.538461538461539	0.615384615384615
14	-0.357142857142857	0.428571428571429	-0.5	0.571428571428571
15	-0.4	0.4	-0.533333333333333	0.466666666666667
16	-0.375	0.375	-0.5625	0.5
17	-0.352941176470588	0.352941176470588	-0.470588235294118	0.529411764705882
18	-0.388888888888889	0.333333333333333	-0.444444444444444	0.5
19	-0.368421052631579	0.315789473684211	-0.526315789473684	0.421052631578947
20	-0.35	0.35	-0.5	0.4
21	-0.333333333333333	0.333333333333333	-0.476190476190476	0.380952380952381
22	-0.318181818181818	0.318181818181818	-0.454545454545455	0.454545454545454
23	-0.304347826086957	0.347826086956522	-0.391304347826087	0.434782608695652
24	-0.291666666666667	0.333333333333333	-0.375	0.375
25	-0.32	0.32	-0.44	0.44
26	-0.307692307692308	0.346153846153846	-0.423076923076923	0.461538461538462
27	-0.296296296296296	0.296296296296296	-0.407407407407407	0.37037037037037
28	-0.321428571428571	0.285714285714286	-0.392857142857143	0.357142857142857
29	-0.310344827586207	0.310344827586207	-0.482758620689655	0.413793103448276
30	-0.3	0.266666666666667	-0.366666666666667	0.333333333333333
31	-0.290322580645161	0.32258064516129	-0.387096774193548	0.387096774193548
32	-0.3125	0.28125	-0.375	0.375
33	-0.303030303030303	0.303030303030303	-0.393939393939394	0.393939393939394
34	-0.294117647058824	0.294117647058824	-0.411764705882353	0.352941176470588
35	-0.257142857142857	0.285714285714286	-0.371428571428571	0.371428571428571
36	-0.277777777777778	0.277777777777778	-0.361111111111111	0.361111111111111
37	-0.27027027027027	0.27027027027027	-0.351351351351351	0.351351351351351
38	-0.263157894736842	0.289473684210526	-0.342105263157895	0.394736842105263
39	-0.256410256410256	0.256410256410256	-0.307692307692308	0.358974358974359
40	-0.25	0.275	-0.325	0.35
41	-0.268292682926829	0.268292682926829	-0.341463414634146	0.365853658536585
42	-0.261904761904762	0.261904761904762	-0.333333333333333	0.357142857142857
43	-0.232558139534884	0.255813953488372	-0.372093023255814	0.325581395348837
44	-0.25	0.272727272727273	-0.318181818181818	0.363636363636364
45	-0.266666666666667	0.266666666666667	-0.333333333333333	0.355555555555556
46	-0.260869565217391	0.239130434782609	-0.347826086956522	0.304347826086957
47	-0.25531914893617	0.25531914893617	-0.340425531914894	0.340425531914894
48	-0.25	0.270833333333333	-0.333333333333333	0.354166666666667
49	-0.244897959183673	0.26530612244898	-0.346938775510204	0.346938775510204
50	-0.26	0.24	-0.32	0.3
51	-0.235294117647059	0.254901960784314	-0.333333333333333	0.313725490196078
52	-0.25	0.25	-0.346153846153846	0.326923076923077
53	-0.245283018867925	0.245283018867925	-0.320754716981132	0.320754716981132
54	-0.240740740740741	0.240740740740741	-0.314814814814815	0.333333333333333
55	-0.236363636363636	0.218181818181818	-0.327272727272727	0.290909090909091
56	-0.25	0.232142857142857	-0.321428571428571	0.321428571428571
57	-0.245614035087719	0.263157894736842	-0.350877192982456	0.315789473684211
58	-0.241379310344828	0.241379310344828	-0.293103448275862	0.310344827586207
59	-0.254237288135593	0.220338983050847	-0.322033898305085	0.288135593220339
60	-0.233333333333333	0.233333333333333	-0.283333333333333	0.333333333333333
61	-0.229508196721312	0.245901639344262	-0.311475409836066	0.295081967213115
62	-0.258064516129032	0.258064516129032	-0.306451612903226	0.32258064516129
63	-0.222222222222222	0.238095238095238	-0.333333333333333	0.317460317460317
64	-0.234375	0.234375	-0.328125	0.3125
65	-0.230769230769231	0.215384615384615	-0.292307692307692	0.292307692307692
66	-0.242424242424242	0.242424242424242	-0.287878787878788	0.303030303030303
67	-0.223880597014925	0.223880597014925	-0.283582089552239	0.283582089552239
68	-0.235294117647059	0.235294117647059	-0.323529411764706	0.338235294117647
69	-0.246376811594203	0.231884057971014	-0.304347826086957	0.289855072463768
70	-0.228571428571429	0.228571428571429	-0.3	0.285714285714286
71	-0.225352112676056	0.225352112676056	-0.267605633802817	0.309859154929577
72	-0.222222222222222	0.222222222222222	-0.291666666666667	0.305555555555556
73	-0.232876712328767	0.219178082191781	-0.342465753424658	0.287671232876712
74	-0.22972972972973	0.22972972972973	-0.310810810810811	0.283783783783784
75	-0.213333333333333	0.213333333333333	-0.28	0.253333333333333
76	-0.223684210526316	0.223684210526316	-0.289473684210526	0.315789473684211
77	-0.220779220779221	0.207792207792208	-0.272727272727273	0.298701298701299
78	-0.230769230769231	0.217948717948718	-0.307692307692308	0.282051282051282
79	-0.227848101265823	0.215189873417722	-0.291139240506329	0.291139240506329
80	-0.2125	0.225	-0.2875	0.3125
81	-0.209876543209877	0.222222222222222	-0.271604938271605	0.308641975308642
82	-0.219512195121951	0.219512195121951	-0.280487804878049	0.304878048780488
83	-0.216867469879518	0.216867469879518	-0.289156626506024	0.265060240963855
84	-0.226190476190476	0.226190476190476	-0.285714285714286	0.285714285714286
85	-0.2	0.223529411764706	-0.258823529411765	0.258823529411765
86	-0.209302325581395	0.220930232558139	-0.302325581395349	0.302325581395349
87	-0.206896551724138	0.218390804597701	-0.28735632183908	0.275862068965517
88	-0.204545454545455	0.215909090909091	-0.272727272727273	0.306818181818182
89	-0.213483146067416	0.191011235955056	-0.247191011235955	0.235955056179775
90	-0.2	0.2	-0.288888888888889	0.255555555555556
91	-0.230769230769231	0.208791208791209	-0.285714285714286	0.274725274725275
92	-0.195652173913043	0.195652173913043	-0.25	0.25
93	-0.21505376344086	0.21505376344086	-0.268817204301075	0.268817204301075
94	-0.212765957446808	0.212765957446808	-0.276595744680851	0.287234042553191
95	-0.221052631578947	0.221052631578947	-0.28421052631579	0.294736842105263
96	-0.208333333333333	0.208333333333333	-0.260416666666667	0.28125
97	-0.195876288659794	0.206185567010309	-0.268041237113402	0.268041237113402
98	-0.204081632653061	0.204081632653061	-0.26530612244898	0.295918367346939
99	-0.212121212121212	0.191919191919192	-0.262626262626263	0.272727272727273
100	-0.21	0.22	-0.26	0.27
101	-0.207920792079208	0.217821782178218	-0.247524752475248	0.297029702970297
102	-0.196078431372549	0.215686274509804	-0.264705882352941	0.254901960784314
103	-0.203883495145631	0.203883495145631	-0.300970873786408	0.281553398058252
104	-0.201923076923077	0.211538461538462	-0.25	0.269230769230769
105	-0.2	0.19047619047619	-0.276190476190476	0.257142857142857
106	-0.207547169811321	0.226415094339623	-0.235849056603774	0.273584905660377
107	-0.205607476635514	0.205607476635514	-0.280373831775701	0.252336448598131
108	-0.203703703703704	0.212962962962963	-0.268518518518518	0.277777777777778
109	-0.211009174311927	0.192660550458716	-0.275229357798165	0.275229357798165
110	-0.218181818181818	0.190909090909091	-0.3	0.245454545454545
111	-0.198198198198198	0.207207207207207	-0.27027027027027	0.288288288288288
112	-0.214285714285714	0.205357142857143	-0.303571428571429	0.258928571428571
113	-0.20353982300885	0.185840707964602	-0.265486725663717	0.256637168141593
114	-0.192982456140351	0.201754385964912	-0.263157894736842	0.254385964912281
115	-0.191304347826087	0.2	-0.269565217391304	0.252173913043478
116	-0.206896551724138	0.198275862068966	-0.293103448275862	0.25
117	-0.205128205128205	0.205128205128205	-0.282051282051282	0.264957264957265
118	-0.203389830508475	0.203389830508475	-0.271186440677966	0.254237288135593
119	-0.19327731092437	0.201680672268908	-0.226890756302521	0.243697478991597
120	-0.2	0.191666666666667	-0.275	0.258333333333333
121	-0.198347107438016	0.206611570247934	-0.256198347107438	0.256198347107438
122	-0.188524590163934	0.204918032786885	-0.262295081967213	0.245901639344262
123	-0.203252032520325	0.219512195121951	-0.268292682926829	0.260162601626016
124	-0.201612903225806	0.201612903225806	-0.274193548387097	0.258064516129032
125	-0.2	0.192	-0.28	0.248
126	-0.182539682539683	0.190476190476191	-0.26984126984127	0.253968253968254
127	-0.181102362204724	0.196850393700787	-0.244094488188976	0.267716535433071
128	-0.1953125	0.1953125	-0.28125	0.28125
129	-0.209302325581395	0.186046511627907	-0.248062015503876	0.255813953488372
130	-0.207692307692308	0.184615384615385	-0.253846153846154	0.246153846153846
131	-0.198473282442748	0.198473282442748	-0.251908396946565	0.251908396946565
132	-0.181818181818182	0.189393939393939	-0.21969696969697	0.265151515151515
133	-0.195488721804511	0.180451127819549	-0.263157894736842	0.240601503759399
134	-0.194029850746269	0.194029850746269	-0.238805970149254	0.283582089552239
135	-0.185185185185185	0.192592592592593	-0.251851851851852	0.259259259259259
136	-0.191176470588235	0.183823529411765	-0.264705882352941	0.25
137	-0.197080291970803	0.197080291970803	-0.291970802919708	0.255474452554745
138	-0.210144927536232	0.210144927536232	-0.289855072463768	0.253623188405797
139	-0.201438848920863	0.18705035971223	-0.280575539568345	0.258992805755396
140	-0.2	0.185714285714286	-0.235714285714286	0.242857142857143
141	-0.205673758865248	0.177304964539007	-0.25531914893617	0.24113475177305
142	-0.204225352112676	0.204225352112676	-0.26056338028169	0.246478873239437
143	-0.195804195804196	0.188811188811189	-0.27972027972028	0.244755244755245
144	-0.180555555555556	0.1875	-0.229166666666667	0.236111111111111
145	-0.179310344827586	0.186206896551724	-0.241379310344828	0.255172413793103
146	-0.191780821917808	0.198630136986301	-0.267123287671233	0.267123287671233
147	-0.197278911564626	0.197278911564626	-0.244897959183673	0.244897959183673
148	-0.195945945945946	0.189189189189189	-0.243243243243243	0.22972972972973
149	-0.187919463087248	0.187919463087248	-0.248322147651007	0.25503355704698
150	-0.2	0.2	-0.273333333333333	0.266666666666667
151	-0.19205298013245	0.185430463576159	-0.251655629139073	0.251655629139073
152	-0.184210526315789	0.177631578947368	-0.263157894736842	0.223684210526316
153	-0.189542483660131	0.183006535947712	-0.248366013071895	0.222222222222222
154	-0.194805194805195	0.188311688311688	-0.246753246753247	0.253246753246753
155	-0.187096774193548	0.193548387096774	-0.238709677419355	0.251612903225806
156	-0.185897435897436	0.192307692307692	-0.243589743589744	0.230769230769231
157	-0.178343949044586	0.178343949044586	-0.248407643312102	0.222929936305732
158	-0.19620253164557	0.189873417721519	-0.240506329113924	0.234177215189873
159	-0.182389937106918	0.182389937106918	-0.30188679245283	0.232704402515723
160	-0.1875	0.18125	-0.25625	0.25
161	-0.198757763975155	0.180124223602484	-0.267080745341615	0.229813664596273
162	-0.197530864197531	0.191358024691358	-0.234567901234568	0.246913580246914
163	-0.190184049079755	0.184049079754601	-0.263803680981595	0.245398773006135
164	-0.195121951219512	0.182926829268293	-0.25	0.24390243902439
165	-0.2	0.187878787878788	-0.248484848484848	0.224242424242424
166	-0.180722891566265	0.198795180722892	-0.246987951807229	0.265060240963855
167	-0.203592814371258	0.179640718562874	-0.25748502994012	0.233532934131737
168	-0.202380952380952	0.19047619047619	-0.261904761904762	0.238095238095238
169	-0.195266272189349	0.201183431952663	-0.266272189349112	0.272189349112426
170	-0.194117647058824	0.176470588235294	-0.264705882352941	0.241176470588235
171	-0.187134502923977	0.187134502923977	-0.251461988304094	0.228070175438597
172	-0.180232558139535	0.186046511627907	-0.273255813953488	0.238372093023256
173	-0.167630057803468	0.179190751445087	-0.23121387283237	0.219653179190751
174	-0.189655172413793	0.183908045977011	-0.264367816091954	0.235632183908046
175	-0.188571428571429	0.188571428571429	-0.245714285714286	0.234285714285714
176	-0.198863636363636	0.181818181818182	-0.261363636363636	0.244318181818182
177	-0.19774011299435	0.186440677966102	-0.248587570621469	0.254237288135593
178	-0.191011235955056	0.174157303370786	-0.230337078651685	0.224719101123595
179	-0.184357541899441	0.17877094972067	-0.240223463687151	0.251396648044693
180	-0.183333333333333	0.188888888888889	-0.266666666666667	0.216666666666667
181	-0.176795580110497	0.198895027624309	-0.259668508287293	0.259668508287293
182	-0.181318681318681	0.175824175824176	-0.236263736263736	0.230769230769231
183	-0.185792349726776	0.169398907103825	-0.251366120218579	0.213114754098361
184	-0.190217391304348	0.184782608695652	-0.25	0.239130434782609
185	-0.183783783783784	0.172972972972973	-0.232432432432432	0.232432432432432
186	-0.17741935483871	0.17741935483871	-0.247311827956989	0.209677419354839
187	-0.176470588235294	0.176470588235294	-0.251336898395722	0.245989304812834
188	-0.186170212765957	0.180851063829787	-0.24468085106383	0.23936170212766
189	-0.17989417989418	0.190476190476191	-0.243386243386243	0.238095238095238
190	-0.173684210526316	0.189473684210526	-0.226315789473684	0.231578947368421
191	-0.18848167539267	0.172774869109948	-0.256544502617801	0.246073298429319
192	-0.182291666666667	0.182291666666667	-0.239583333333333	0.234375
193	-0.181347150259067	0.176165803108808	-0.243523316062176	0.253886010362694
194	-0.185567010309278	0.195876288659794	-0.278350515463918	0.283505154639175
195	-0.184615384615385	0.184615384615385	-0.276923076923077	0.246153846153846
196	-0.188775510204082	0.193877551020408	-0.244897959183674	0.23469387755102
197	-0.177664974619289	0.17258883248731	-0.243654822335025	0.213197969543147
198	-0.171717171717172	0.191919191919192	-0.242424242424242	0.257575757575758
199	-0.180904522613065	0.170854271356784	-0.251256281407035	0.236180904522613
200	-0.185	0.175	-0.26	0.23
201	-0.174129353233831	0.17910447761194	-0.238805970149254	0.243781094527363
202	-0.168316831683168	0.188118811881188	-0.262376237623762	0.242574257425743
203	-0.192118226600985	0.182266009852217	-0.241379310344828	0.226600985221675
204	-0.196078431372549	0.191176470588235	-0.240196078431372	0.25
205	-0.175609756097561	0.195121951219512	-0.229268292682927	0.234146341463415
206	-0.184466019417476	0.184466019417476	-0.218446601941748	0.237864077669903
207	-0.183574879227053	0.183574879227053	-0.265700483091788	0.231884057971014
208	-0.177884615384615	0.168269230769231	-0.245192307692308	0.235576923076923
209	-0.196172248803828	0.181818181818182	-0.239234449760766	0.215311004784689
210	-0.176190476190476	0.185714285714286	-0.228571428571429	0.261904761904762
211	-0.180094786729858	0.175355450236967	-0.227488151658768	0.218009478672986
212	-0.179245283018868	0.165094339622642	-0.25	0.231132075471698
213	-0.178403755868545	0.169014084507042	-0.234741784037559	0.215962441314554
214	-0.177570093457944	0.191588785046729	-0.224299065420561	0.247663551401869
215	-0.176744186046512	0.190697674418605	-0.218604651162791	0.227906976744186
216	-0.171296296296296	0.171296296296296	-0.24537037037037	0.24537037037037
217	-0.184331797235023	0.179723502304147	-0.271889400921659	0.225806451612903
218	-0.188073394495413	0.18348623853211	-0.23394495412844	0.23394495412844
219	-0.187214611872146	0.17351598173516	-0.237442922374429	0.242009132420091
220	-0.190909090909091	0.177272727272727	-0.259090909090909	0.245454545454545
221	-0.176470588235294	0.180995475113122	-0.235294117647059	0.217194570135747
222	-0.18018018018018	0.18018018018018	-0.238738738738739	0.234234234234234
223	-0.179372197309417	0.188340807174888	-0.251121076233184	0.233183856502242
224	-0.1875	0.1875	-0.254464285714286	0.25
225	-0.177777777777778	0.186666666666667	-0.226666666666667	0.231111111111111
226	-0.190265486725664	0.185840707964602	-0.269911504424779	0.234513274336283
227	-0.180616740088106	0.193832599118943	-0.255506607929515	0.233480176211454
228	-0.179824561403509	0.157894736842105	-0.236842105263158	0.228070175438596
229	-0.183406113537118	0.205240174672489	-0.244541484716157	0.266375545851528
230	-0.178260869565217	0.191304347826087	-0.243478260869565	0.234782608695652
231	-0.177489177489177	0.16017316017316	-0.238095238095238	0.220779220779221
232	-0.168103448275862	0.189655172413793	-0.219827586206897	0.245689655172414
233	-0.175965665236052	0.180257510729614	-0.244635193133047	0.223175965665236
234	-0.188034188034188	0.179487179487179	-0.252136752136752	0.217948717948718
235	-0.178723404255319	0.182978723404255	-0.234042553191489	0.238297872340426
236	-0.186440677966102	0.186440677966102	-0.23728813559322	0.224576271186441
237	-0.168776371308017	0.185654008438819	-0.223628691983122	0.253164556962025
238	-0.172268907563025	0.168067226890756	-0.226890756302521	0.222689075630252
239	-0.167364016736402	0.184100418410042	-0.221757322175732	0.234309623430962
240	-0.179166666666667	0.170833333333333	-0.241666666666667	0.216666666666667
241	-0.186721991701245	0.170124481327801	-0.232365145228216	0.215767634854772
242	-0.181818181818182	0.177685950413223	-0.235537190082645	0.223140495867769
243	-0.193415637860082	0.172839506172839	-0.230452674897119	0.226337448559671
244	-0.176229508196721	0.176229508196721	-0.233606557377049	0.225409836065574
245	-0.187755102040816	0.183673469387755	-0.224489795918367	0.240816326530612
246	-0.16260162601626	0.17479674796748	-0.211382113821138	0.231707317073171
247	-0.182186234817814	0.174089068825911	-0.230769230769231	0.226720647773279
248	-0.169354838709677	0.181451612903226	-0.245967741935484	0.225806451612903
249	-0.184738955823293	0.176706827309237	-0.224899598393574	0.224899598393574
250	-0.172	0.168	-0.24	0.216
251	-0.167330677290837	0.171314741035857	-0.227091633466135	0.243027888446215
252	-0.182539682539683	0.166666666666667	-0.23015873015873	0.222222222222222
253	-0.185770750988142	0.189723320158103	-0.245059288537549	0.225296442687747
254	-0.192913385826772	0.169291338582677	-0.240157480314961	0.21259842519685
255	-0.168627450980392	0.172549019607843	-0.223529411764706	0.227450980392157
256	-0.17578125	0.171875	-0.23828125	0.22265625
257	-0.182879377431907	0.175097276264591	-0.24124513618677	0.249027237354086
